EventID,TimeCreated,Computer,EventRecordID,Image,ParentImage,User,CommandLine,CommandLine_norm
1,2025-11-29 01:54:15,HOST-164,246316,C:\Windows\System32\cmd.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,DOMAIN\bob,"""C:\Windows\System32\cmd.exe"" /c ""dir C:\Users && echo done""","""c:\windows\system32\cmd.exe"" /c ""dir c:\users && echo done"""
1,2025-11-27 10:12:43,HOST-189,719176,C:\Program Files\Java\jre1.8.0_291\bin\java.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,DOMAIN\bob,"""C:\Program Files\Java\jre1.8.0_291\bin\java.exe"" -jar ""C:\Program Files\app\service.jar""","""c:\program files\java\jre1.8.0_291\bin\java.exe"" -jar ""c:\program files\app\service.jar"""
1,2025-12-02 12:05:05,HOST-109,731262,C:\Windows\System32\cmd.exe,C:\Windows\System32\services.exe,DOMAIN\alice,"""C:\Windows\System32\cmd.exe"" /c ""dir C:\Users && echo done""","""c:\windows\system32\cmd.exe"" /c ""dir c:\users && echo done"""
1,2025-12-01 11:05:00,HOST-007,331148,C:\Program Files\Microsoft VS Code\Code.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,DOMAIN\david,"""C:\Program Files\Microsoft VS Code\Code.exe""","""c:\program files\microsoft vs code\code.exe"""
1,2025-12-01 11:59:05,HOST-115,456778,C:\Windows\System32\cmd.exe,C:\Program Files\Git\bin\bash.exe,DOMAIN\eve,"""C:\Windows\System32\cmd.exe"" /c ""dir C:\Users && echo done""","""c:\windows\system32\cmd.exe"" /c ""dir c:\users && echo done"""
1,2025-11-27 11:54:13,HOST-072,498382,C:\Program Files\7-Zip\7zFM.exe,C:\Program Files\Git\bin\bash.exe,DOMAIN\charlie,"""C:\Program Files\7-Zip\7zFM.exe"" a ""C:\Users\user\Archives\backup.7z"" ""C:\Users\user\Documents\*""","""c:\program files\7-zip\7zfm.exe"" a ""c:\users\user\archives\backup.7z"" ""c:\users\user\documents\*"""
1,2025-11-26 21:32:43,HOST-025,865179,C:\Windows\System32\wuauclt.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,NT AUTHORITY\SYSTEM,"""C:\Windows\System32\wuauclt.exe"" /detectnow","""c:\windows\system32\wuauclt.exe"" /detectnow"
1,2025-11-30 18:13:23,HOST-118,705397,C:\Program Files\Git\bin\bash.exe,C:\Windows\System32\services.exe,DOMAIN\bob,"""C:\Program Files\Git\bin\bash.exe"" -lc ""git --version""","""c:\program files\git\bin\bash.exe"" -lc ""git --version"""
1,2025-11-27 08:07:49,HOST-050,996865,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,DOMAIN\bob,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -ExecutionPolicy Bypass -Command ""Get-Service | Where-Object {$_.Status -eq ""Running""}""","""c:\windows\system32\windowspowershell\v1.0\powershell.exe"" -noprofile -executionpolicy bypass -command ""get-service | where-object {$_.status -eq ""running""}"""
1,2025-11-30 19:09:16,HOST-060,270555,C:\Program Files\Git\bin\bash.exe,C:\Windows\System32\svchost.exe,DOMAIN\bob,"""C:\Program Files\Git\bin\bash.exe"" -lc ""git --version""","""c:\program files\git\bin\bash.exe"" -lc ""git --version"""
1,2025-11-27 05:41:12,HOST-095,738720,C:\Program Files\7-Zip\7zFM.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,NT AUTHORITY\SYSTEM,"""C:\Program Files\7-Zip\7zFM.exe"" a ""C:\Users\user\Archives\backup.7z"" ""C:\Users\user\Documents\*""","""c:\program files\7-zip\7zfm.exe"" a ""c:\users\user\archives\backup.7z"" ""c:\users\user\documents\*"""
1,2025-11-30 23:24:49,HOST-163,383060,C:\Program Files\Notepad++\notepad++.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,DOMAIN\charlie,"""C:\Program Files\Notepad++\notepad++.exe"" ""C:\Users\alice\Documents\report.docx""","""c:\program files\notepad++\notepad++.exe"" ""c:\users\alice\documents\report.docx"""
1,2025-11-27 01:10:57,HOST-164,340174,C:\Program Files\Java\jre1.8.0_291\bin\java.exe,C:\Windows\System32\svchost.exe,DOMAIN\david,"""C:\Program Files\Java\jre1.8.0_291\bin\java.exe"" -jar ""C:\Program Files\app\service.jar""","""c:\program files\java\jre1.8.0_291\bin\java.exe"" -jar ""c:\program files\app\service.jar"""
1,2025-12-03 06:05:33,HOST-009,852787,C:\Program Files\Git\bin\bash.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,"""C:\Program Files\Git\bin\bash.exe"" -lc ""ls -la /mnt/c/Users""","""c:\program files\git\bin\bash.exe"" -lc ""ls -la /mnt/c/users"""
1,2025-12-01 22:32:23,HOST-081,249811,C:\Windows\System32\conhost.exe,C:\Windows\System32\cmd.exe,DOMAIN\david,"""C:\Windows\System32\conhost.exe""","""c:\windows\system32\conhost.exe"""
1,2025-12-01 13:40:47,HOST-068,711878,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,C:\Program Files\Google\Chrome\Application\chrome.exe,DOMAIN\charlie,"""C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE"" ""C:\Users\charlie\Downloads\budget.xlsx""","""c:\program files\microsoft office\root\office16\winword.exe"" ""c:\users\charlie\downloads\budget.xlsx"""
1,2025-11-26 22:36:47,HOST-103,214975,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,C:\Windows\explorer.exe,NT AUTHORITY\SYSTEM,"""C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE"" ""C:\Users\charlie\Downloads\budget.xlsx""","""c:\program files\microsoft office\root\office16\winword.exe"" ""c:\users\charlie\downloads\budget.xlsx"""
1,2025-12-01 00:57:39,HOST-040,500156,C:\Program Files\Java\jre1.8.0_291\bin\java.exe,C:\Windows\System32\cmd.exe,DOMAIN\charlie,"""C:\Program Files\Java\jre1.8.0_291\bin\java.exe"" -jar ""C:\Program Files\app\service.jar""","""c:\program files\java\jre1.8.0_291\bin\java.exe"" -jar ""c:\program files\app\service.jar"""
1,2025-11-26 12:14:00,HOST-153,813328,C:\Program Files\Git\cmd\git.exe,C:\Windows\System32\svchost.exe,NETWORK SERVICE,"""C:\Program Files\Git\cmd\git.exe"" status","""c:\program files\git\cmd\git.exe"" status"
1,2025-11-30 11:58:21,HOST-185,216970,C:\Program Files\Java\jre1.8.0_291\bin\java.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,DOMAIN\bob,"""C:\Program Files\Java\jre1.8.0_291\bin\java.exe"" -jar ""C:\Program Files\app\service.jar""","""c:\program files\java\jre1.8.0_291\bin\java.exe"" -jar ""c:\program files\app\service.jar"""
1,2025-11-28 12:55:32,HOST-076,632342,C:\Program Files\Mozilla Firefox\firefox.exe,C:\Windows\System32\cmd.exe,LOCAL SERVICE,"""C:\Program Files\Mozilla Firefox\firefox.exe"" --type=renderer --user-data-dir=""C:\Users\user\AppData\Local\Google\Chrome\User Data\Default"" about:blank","""c:\program files\mozilla firefox\firefox.exe"" --type=renderer data\default"" about:blank"
1,2025-11-28 05:24:25,HOST-028,492077,C:\Windows\System32\conhost.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,DOMAIN\eve,"""C:\Windows\System32\conhost.exe""","""c:\windows\system32\conhost.exe"""
1,2025-11-30 07:18:24,HOST-196,612340,C:\Program Files\Notepad++\notepad++.exe,C:\Program Files\Git\bin\bash.exe,DOMAIN\charlie,"""C:\Program Files\Notepad++\notepad++.exe"" ""C:\Users\charlie\Downloads\budget.xlsx""","""c:\program files\notepad++\notepad++.exe"" ""c:\users\charlie\downloads\budget.xlsx"""
1,2025-11-29 06:38:05,HOST-005,160738,C:\Windows\System32\wuauclt.exe,C:\Program Files\Git\bin\bash.exe,DOMAIN\bob,"""C:\Windows\System32\wuauclt.exe"" /detectnow","""c:\windows\system32\wuauclt.exe"" /detectnow"
1,2025-12-02 20:03:04,HOST-062,903035,C:\Program Files\Google\Chrome\Application\chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,DOMAIN\bob,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --user-data-dir=""C:\Users\user\AppData\Local\Google\Chrome\User Data\Profile 1"" https://intranet.local","""c:\program files\google\chrome\application\chrome.exe"" --type=renderer data\profile 1"" https://intranet.local"
1,2025-11-28 08:59:10,HOST-033,377932,C:\Program Files\Java\jre1.8.0_291\bin\java.exe,C:\Windows\System32\cmd.exe,DOMAIN\charlie,"""C:\Program Files\Java\jre1.8.0_291\bin\java.exe"" -jar ""C:\Program Files\app\service.jar""","""c:\program files\java\jre1.8.0_291\bin\java.exe"" -jar ""c:\program files\app\service.jar"""
1,2025-11-28 19:28:44,HOST-136,847581,C:\Program Files\7-Zip\7zFM.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,LOCAL SERVICE,"""C:\Program Files\7-Zip\7zFM.exe"" a ""C:\Users\user\Archives\backup.7z"" ""C:\Users\user\Documents\*""","""c:\program files\7-zip\7zfm.exe"" a ""c:\users\user\archives\backup.7z"" ""c:\users\user\documents\*"""
1,2025-12-02 15:38:39,HOST-080,573417,C:\Program Files\Java\jre1.8.0_291\bin\java.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,LOCAL SERVICE,"""C:\Program Files\Java\jre1.8.0_291\bin\java.exe"" -jar ""C:\Program Files\app\service.jar""","""c:\program files\java\jre1.8.0_291\bin\java.exe"" -jar ""c:\program files\app\service.jar"""
