"EventID","TimeCreated","Computer","EventRecordID","Image","ParentImage","User","CommandLine","CommandLine_norm"
"1","2025-11-27 06:18:14","HOST-251","8732565","C:\Windows\explorer.exe","C:\Windows\explorer.exe","DOMAIN\user36","""C:\Windows\explorer.exe"" --arg71","""c:\windows\explorer.exe"" --arg71"
"1","2025-11-22 05:45:57","HOST-146","8755000","C:\Windows\System32\cmd.exe","C:\Windows\System32\svchost.exe","DOMAIN\user62","""C:\Windows\System32\cmd.exe"" /c ""dir C:\Users\user62 && echo a7d7f2""","""c:\windows\system32\cmd.exe"" /c ""dir c:\users\user62 && echo a7d7f2"""
"1","2025-12-01 21:50:59","HOST-310","8648484","C:\Program Files\Microsoft VS Code\Code.exe","C:\Program Files\Git\bin\bash.exe","DOMAIN\user99","""C:\Program Files\Microsoft VS Code\Code.exe"" ""C:\Projects\repo54\README.md"" --session 9c45f5","""c:\program files\microsoft vs code\code.exe"" ""c:\projects\repo54\readme.md"" --session 9c45f5"
"1","2025-11-28 15:17:27","HOST-163","7188100","C:\Windows\explorer.exe","C:\Windows\System32\services.exe","DOMAIN\user199","""C:\Windows\explorer.exe"" --arg62 --session f51559","""c:\windows\explorer.exe"" --arg62 --session f51559"
"1","2025-11-20 06:21:42","HOST-164","5424974","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","C:\Program Files\Google\Chrome\Application\chrome.exe","DOMAIN\user174","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -Command ""Get-Process""","""c:\windows\system32\windowspowershell\v1.0\powershell.exe"" -noprofile -command ""get-process"""
"1","2025-11-21 16:18:57","HOST-243","830572","C:\Program Files\Java\jre1.8.0_291\bin\java.exe","C:\Program Files\Google\Chrome\Application\chrome.exe","DOMAIN\user100","""C:\Program Files\Java\jre1.8.0_291\bin\java.exe"" -jar ""C:\Program Files\app\service_40.jar""","""c:\program files\java\jre1.8.0_291\bin\java.exe"" -jar ""c:\program files\app\service_40.jar"""
"1","2025-11-23 11:28:05","HOST-036","5318064","C:\Windows\explorer.exe","C:\Windows\System32\svchost.exe","DOMAIN\user133","""C:\Windows\explorer.exe"" --arg62","""c:\windows\explorer.exe"" --arg62"
"1","2025-11-20 09:49:50","HOST-021","1505091","C:\Program Files\Git\cmd\git.exe","C:\Program Files\Git\bin\bash.exe","DOMAIN\user132","""C:\Program Files\Git\cmd\git.exe"" clone https://github.com/example/repo207.git","""c:\program files\git\cmd\git.exe"" clone https://github.com/example/repo207.git"
"1","2025-11-26 10:00:41","HOST-182","3813690","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe","NETWORK SERVICE","""C:\Windows\System32\svchost.exe"" --arg40","""c:\windows\system32\svchost.exe"" --arg40"
"1","2025-11-26 21:08:05","HOST-157","4803671","C:\Windows\explorer.exe","C:\Program Files\Google\Chrome\Application\chrome.exe","DOMAIN\user234","""C:\Windows\explorer.exe"" --arg33","""c:\windows\explorer.exe"" --arg33"
"1","2025-11-19 10:12:00","HOST-234","6901103","C:\Program Files\VideoLAN\VLC\vlc.exe","C:\Program Files\Git\bin\bash.exe","DOMAIN\user33","""C:\Program Files\VideoLAN\VLC\vlc.exe"" ""C:\Users\user33\Videos\video_83.mp4""","""c:\program files\videolan\vlc\vlc.exe"" ""c:\users\user33\videos\video_83.mp4"""
"1","2025-11-24 06:01:44","HOST-137","5781241","C:\Program Files\Microsoft VS Code\Code.exe","C:\Windows\explorer.exe","DOMAIN\user246","""C:\Program Files\Microsoft VS Code\Code.exe"" ""C:\Projects\repo70\README.md"" --session 9e8462","""c:\program files\microsoft vs code\code.exe"" ""c:\projects\repo70\readme.md"" --session 9e8462"
"1","2025-11-24 09:35:11","HOST-230","5139896","C:\Program Files\Git\cmd\git.exe","C:\Windows\System32\cmd.exe","DOMAIN\user111","""C:\Program Files\Git\cmd\git.exe"" clone https://github.com/example/repo187.git","""c:\program files\git\cmd\git.exe"" clone https://github.com/example/repo187.git"
"1","2025-11-20 15:12:30","HOST-128","9559487","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","C:\Windows\explorer.exe","DOMAIN\user300","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -Command ""Get-Service"" --session b02df7","""c:\windows\system32\windowspowershell\v1.0\powershell.exe"" -noprofile -command ""get-service"" --session b02df7"
"1","2025-12-02 15:21:19","HOST-028","1176836","C:\Program Files\Google\Chrome\Application\chrome.exe","C:\Windows\System32\services.exe","DOMAIN\user79","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --user-data-dir=""C:\Users\user79\AppData\Local\5a4ae7"" https://docs.company.com/page14","""c:\program files\google\chrome\application\chrome.exe"" --user-data-dir=""c:\users\user79\appdata\local\5a4ae7"" https://docs.company.com/page14"
"1","2025-12-01 08:45:42","HOST-368","5173876","C:\Program Files\Microsoft VS Code\Code.exe","C:\Program Files\Google\Chrome\Application\chrome.exe","DOMAIN\user116","""C:\Program Files\Microsoft VS Code\Code.exe"" ""C:\Projects\repo61\README.md""","""c:\program files\microsoft vs code\code.exe"" ""c:\projects\repo61\readme.md"""
"1","2025-11-19 18:42:32","HOST-353","3295826","C:\Program Files\VideoLAN\VLC\vlc.exe","C:\Windows\System32\cmd.exe","DOMAIN\user226","C:\Program Files\VideoLAN\VLC\vlc.exe C:\Users\user226\Videos\video_164.mp4","c:\program files\videolan\vlc\vlc.exe c:\users\user226\videos\video_164.mp4"
"1","2025-12-02 10:25:04","HOST-250","2368607","C:\Program Files\7-Zip\7z.exe","C:\Windows\System32\svchost.exe","DOMAIN\user105","""C:\Program Files\7-Zip\7z.exe"" a ""C:\Users\user105\Archives\backup_92.7z"" ""C:\Users\user105\Documents\*""","""c:\program files\7-zip\7z.exe"" a ""c:\users\user105\archives\backup_92.7z"" ""c:\users\user105\documents\*"""
"1","2025-12-01 11:53:31","HOST-062","5519272","C:\Program Files\Microsoft VS Code\Code.exe","C:\Windows\System32\cmd.exe","DOMAIN\user278","""C:\Program Files\Microsoft VS Code\Code.exe"" ""C:\Projects\repo59\README.md""","""c:\program files\microsoft vs code\code.exe"" ""c:\projects\repo59\readme.md"""
"1","2025-11-27 08:51:41","HOST-207","9934369","C:\Program Files\7-Zip\7z.exe","C:\Windows\explorer.exe","DOMAIN\user176","""C:\Program Files\7-Zip\7z.exe"" a ""C:\Users\user176\Archives\backup_209.7z"" ""C:\Users\user176\Documents\*""","""c:\program files\7-zip\7z.exe"" a ""c:\users\user176\archives\backup_209.7z"" ""c:\users\user176\documents\*"""
"1","2025-11-27 11:58:59","HOST-258","5801004","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","C:\Windows\System32\svchost.exe","DOMAIN\user117","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -Command ""Get-ChildItem C:\Users""","""c:\windows\system32\windowspowershell\v1.0\powershell.exe"" -noprofile -command ""get-childitem c:\users"""
"1","2025-11-26 06:41:20","HOST-335","5558007","C:\Program Files\VideoLAN\VLC\vlc.exe","C:\Program Files\Git\bin\bash.exe","DOMAIN\user12","""C:\Program Files\VideoLAN\VLC\vlc.exe"" ""C:\Users\user12\Videos\video_90.mp4""","""c:\program files\videolan\vlc\vlc.exe"" ""c:\users\user12\videos\video_90.mp4"""
"1","2025-11-23 06:23:25","HOST-306","673489","C:\Program Files\7-Zip\7z.exe","C:\Windows\System32\cmd.exe","DOMAIN\user156","""C:\Program Files\7-Zip\7z.exe"" a ""C:\Users\user156\Archives\backup_199.7z"" ""C:\Users\user156\Documents\*"" --session ff9c86","""c:\program files\7-zip\7z.exe"" a ""c:\users\user156\archives\backup_199.7z"" ""c:\users\user156\documents\*"" --session ff9c86"
"1","2025-11-20 14:40:18","HOST-275","6905469","C:\Windows\System32\cmd.exe","C:\Windows\System32\svchost.exe","DOMAIN\user226","""C:\Windows\System32\cmd.exe"" /c ""dir C:\Users\user226 && echo d0b36c""","""c:\windows\system32\cmd.exe"" /c ""dir c:\users\user226 && echo d0b36c"""
